predicate/type,pas,grec,egram,seed,archive,VE,per,rep,all
abolish.01,0,0,0,0,0,8292,5372,2920,8292
alter.01,0,0,0,0,0,8901,4903,3998,8901
begin.01,0,0,0,0,0,3461,3202,259,3461
begin.02,0,0,0,0,0,23250,13275,9975,23250
block.01,0,0,0,0,0,14597,7736,6861,14597
catalyse.01,0,0,0,0,0,5556,4039,1517,5556
confer.01,0,0,0,0,0,24389,13108,11281,24389
decrease.01,0,0,0,0,0,17005,14148,2857,17005
decrease.02,0,0,0,0,0,435,243,192,435
delete.01,0,0,0,0,0,3481,2348,1133,3481
develop.01,0,0,0,0,0,1252,1012,240,1252
Disrupt.01,0,0,0,0,0,3018,1189,1829,3018
eliminate.01,0,0,0,0,0,4278,3452,826,4278
encode.01,0,0,0,0,0,3713,1864,1849,3713
express.01,0,0,0,0,0,11010,8883,2127,11010
generate.01,0,0,0,0,0,9994,8415,1579,9994
inhibit.01,0,0,0,0,0,8135,5581,2554,8135
Initiate.01,0,0,0,0,0,4585,2856,1729,4585
lead.01,0,0,0,0,0,9782,5021,4761,9782
lose.01,0,0,0,0,0,4515,1992,2523,4515
modify.01,0,0,0,0,0,987,408,579,987
Mutate.01,0,0,0,0,0,5647,1779,3868,5647
proliferate.01,0,0,0,0,0,3836,2213,1623,3836
recognize.01,0,0,0,0,0,3982,2737,1245,3982
result.01,0,0,0,0,0,27547,11134,16413,27547
Skip.01,0,0,0,0,0,7440,2910,4530,7440
splice.01,0,0,0,0,0,8007,5710,2297,8007
splice.02,0,0,0,0,0,4847,3200,1647,4847
Transcribe.01,0,0,0,0,0,7269,5185,2084,7269
transform.01,0,0,0,0,0,3775,3707,68,3775
transform.02,0,0,0,0,0,11476,11008,468,11476
translate.01,0,0,0,0,0,5514,4945,569,5514
translate.02,0,0,0,0,0,17741,17354,387,17741
translate.03,0,0,0,0,0,23824,16076,7748,23824
Truncate.01,0,0,0,0,0,2420,1478,942,2420
SUM,0,0,0,0,0,303961,198483,105478,303961
