0,pas,grec,egram,seed,archive,VE,per,rep,all
abolish.01,0,0,159,0,0,8292,5372,2920,8451
alter.01,0,0,264,0,0,8901,4903,3998,9165
begin.01,0,0,258,0,0,3461,3202,259,3719
begin.02,0,0,401,0,0,23250,13275,9975,23651
block.01,0,0,307,0,0,14597,7736,6861,14904
catalyse.01,0,0,208,0,0,5556,4039,1517,5764
confer.01,0,0,402,0,0,24389,13108,11281,24791
decrease.01,0,0,464,0,0,17005,14148,2857,17469
decrease.02,0,0,91,0,0,435,243,192,526
delete.01,0,0,154,0,0,3481,2348,1133,3635
develop.01,0,0,262,0,0,1252,1012,240,1514
Disrupt.01,0,0,131,0,0,3018,1189,1829,3149
eliminate.01,0,0,166,0,0,4278,3452,826,4444
encode.01,0,0,185,0,0,3713,1864,1849,3898
express.01,0,0,280,0,0,11010,8883,2127,11290
generate.01,0,0,189,0,0,9994,8415,1579,10183
inhibit.01,0,0,284,0,0,8135,5581,2554,8419
Initiate.01,0,0,316,0,0,4585,2856,1729,4901
lead.01,0,0,196,0,0,9782,5021,4761,9978
lose.01,0,0,319,0,0,4515,1992,2523,4834
modify.01,0,0,385,0,0,987,408,579,1372
Mutate.01,0,0,710,0,0,5647,1779,3868,6357
proliferate.01,0,0,311,0,0,3836,2213,1623,4147
recognize.01,0,0,140,0,0,3982,2737,1245,4122
result.01,0,0,527,0,0,27547,11134,16413,28074
Skip.01,0,0,393,0,0,7440,2910,4530,7833
splice.01,0,0,494,0,0,8007,5710,2297,8501
splice.02,0,0,423,0,0,4847,3200,1647,5270
Transcribe.01,0,0,628,0,0,7269,5185,2084,7897
transform.01,0,0,252,0,0,3775,3707,68,4027
transform.02,0,0,354,0,0,11476,11008,468,11830
translate.01,0,0,420,0,0,5514,4945,569,5934
translate.02,0,0,479,0,0,17741,17354,387,18220
translate.03,0,0,498,0,0,23824,16076,7748,24322
Truncate.01,0,0,498,0,0,2420,1478,942,2918
SUM,0,0,11548,0,0,303961,198483,105478,315509
